Category	Subcategory	Subsystem	Role	Features
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin pyrophosphokinase (EC 2.7.6.2)	fig|817.1.peg.3585
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)	fig|817.1.peg.69
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiazole synthase (EC 2.8.1.10)	fig|817.1.peg.3442
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	2-iminoacetate synthase (ThiH) (EC 4.1.99.19)	fig|817.1.peg.3438
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamine-monophosphate kinase (EC 2.7.4.16)	fig|817.1.peg.3063
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	fig|817.1.peg.539, fig|817.1.peg.698
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	fig|817.1.peg.3436, fig|817.1.peg.3443
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Hydroxyethylthiazole kinase (EC 2.7.1.50)	fig|817.1.peg.3269
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Sulfur carrier protein ThiS	fig|817.1.peg.3444
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	Naphthoate synthase (EC 4.1.3.36)	fig|817.1.peg.239
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	fig|817.1.peg.243
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	fig|817.1.peg.242
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)	fig|817.1.peg.237
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	O-succinylbenzoate synthase (EC 4.2.1.113)	fig|817.1.peg.238
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	fig|817.1.peg.4675
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	Ubiquinone/menaquinone biosynthesis methyltransferase UbiE (EC 2.1.1.-)	fig|817.1.peg.579
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone biosynthesis from chorismate via 1,4-dihydroxy-2-naphthoate	Naphthoate synthase (EC 4.1.3.36)	fig|817.1.peg.239
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone biosynthesis from chorismate via 1,4-dihydroxy-2-naphthoate	Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	fig|817.1.peg.243
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone biosynthesis from chorismate via 1,4-dihydroxy-2-naphthoate	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	fig|817.1.peg.242
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone biosynthesis from chorismate via 1,4-dihydroxy-2-naphthoate	2-heptaprenyl-1,4-naphthoquinone methyltransferase MenG (EC 2.1.1.163)	fig|817.1.peg.579
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone biosynthesis from chorismate via 1,4-dihydroxy-2-naphthoate	O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)	fig|817.1.peg.237
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone biosynthesis from chorismate via 1,4-dihydroxy-2-naphthoate	O-succinylbenzoate synthase (EC 4.2.1.113)	fig|817.1.peg.238
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone biosynthesis from chorismate via 1,4-dihydroxy-2-naphthoate	1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	fig|817.1.peg.4675
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	L-threonine 3-O-phosphate decarboxylase (EC 4.1.1.81)	fig|817.1.peg.1207
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Cobalt-precorrin-6y C5-methyltransferase (EC 2.1.1.-)	fig|817.1.peg.1233
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)	fig|817.1.peg.1232
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Cobalt-precorrin-2 C20-methyltransferase (EC 2.1.1.130)	fig|817.1.peg.6
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Cobyric acid synthase (EC 6.3.5.10)	fig|817.1.peg.1208
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Cobalamin biosynthesis protein CbiG	fig|817.1.peg.1234
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Optional hypothetical component of the B12 transporter BtuN	fig|817.1.peg.1227
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Cobalt-precorrin-6y C15-methyltransferase [decarboxylating] (EC 2.1.1.-)	fig|817.1.peg.1233
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Vitamin B12 ABC transporter, ATPase component BtuD	fig|817.1.peg.2867
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Sirohydrochlorin cobaltochelatase CbiK (EC 4.99.1.3)	fig|817.1.peg.1225
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Vitamin B12 ABC transporter, B12-binding component BtuF	fig|817.1.peg.7
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Predicted cobalt transporter in Bacteroides_Porphyromonas	fig|817.1.peg.1222, fig|817.1.peg.3268
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Outer membrane vitamin B12 receptor BtuB	fig|817.1.peg.1226
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Cobalt-precorrin-6x reductase (EC 1.3.1.54)	fig|817.1.peg.1235
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	fig|817.1.peg.1202
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Cobalamin synthase	fig|817.1.peg.1204
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Vitamin B12 ABC transporter, permease component BtuC	fig|817.1.peg.8
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Cobalt-precorrin-3b C17-methyltransferase	fig|817.1.peg.1232
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Cobalt-precorrin-4 C11-methyltransferase (EC 2.1.1.133)	fig|817.1.peg.1234
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)	fig|817.1.peg.1203
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Adenosylcobinamide-phosphate synthase (EC 6.3.1.10)	fig|817.1.peg.1206
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73)	fig|817.1.peg.1205
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Cobalt-precorrin-6 synthase, anaerobic	fig|817.1.peg.1235
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	B12 Biosynthesis (Tavares copy1)	Cobyrinic acid A,C-diamide synthase	fig|817.1.peg.1218
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobalt-precorrin-6x reductase (EC 1.3.1.54)	fig|817.1.peg.1235
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	L-threonine 3-O-phosphate decarboxylase (EC 4.1.1.81)	fig|817.1.peg.1207
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	fig|817.1.peg.1202
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)	fig|817.1.peg.1232
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobalamin synthase	fig|817.1.peg.1204
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobalt-precorrin-2 C20-methyltransferase (EC 2.1.1.130)	fig|817.1.peg.6
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobyric acid synthase (EC 6.3.5.10)	fig|817.1.peg.1208
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobalt-precorrin-4 C11-methyltransferase (EC 2.1.1.133)	fig|817.1.peg.1234
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobalt-precorrin-3b C17-methyltransferase	fig|817.1.peg.1232
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobalamin biosynthesis protein CbiG	fig|817.1.peg.1234
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)	fig|817.1.peg.1203
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Adenosylcobinamide-phosphate synthase (EC 6.3.1.10)	fig|817.1.peg.1206
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73)	fig|817.1.peg.1205
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobalt-precorrin-6 synthase, anaerobic	fig|817.1.peg.1235
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Sirohydrochlorin cobaltochelatase CbiK (EC 4.99.1.3)	fig|817.1.peg.1225
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobyrinic acid A,C-diamide synthase	fig|817.1.peg.1218
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	CPO analysis	Hypothetical radical SAM family enzyme, NOT coproporphyrinogen III oxidase, oxygen-independent	fig|817.1.peg.2207
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	CPO analysis	FIG000605: protein co-occurring with transport systems (COG1739)	fig|817.1.peg.4174
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	CPO analysis	Protoporphyrinogen IX oxidase, aerobic, HemY (EC 1.3.3.4)	fig|817.1.peg.434
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	CPO analysis	Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)	fig|817.1.peg.2147
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	CPO analysis	Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)	fig|817.1.peg.435
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	L-threonine 3-O-phosphate decarboxylase (EC 4.1.1.81)	fig|817.1.peg.1207
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalt-precorrin-6y C5-methyltransferase (EC 2.1.1.-)	fig|817.1.peg.1233
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)	fig|817.1.peg.1232
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobyric acid synthase (EC 6.3.5.10)	fig|817.1.peg.1208
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalamin biosynthesis protein CbiG	fig|817.1.peg.1234
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Optional hypothetical component of the B12 transporter BtuN	fig|817.1.peg.1227
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	tRNA epoxyqueuosine(34) reductase (EC 1.17.99.6)	fig|817.1.peg.1958
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalt-precorrin-6y C15-methyltransferase [decarboxylating] (EC 2.1.1.-)	fig|817.1.peg.1233
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Vitamin B12 ABC transporter, ATPase component BtuD	fig|817.1.peg.2867
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Sirohydrochlorin cobaltochelatase CbiK (EC 4.99.1.3)	fig|817.1.peg.1225
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Vitamin B12 ABC transporter, B12-binding component BtuF	fig|817.1.peg.1374, fig|817.1.peg.2865, fig|817.1.peg.7
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Outer membrane vitamin B12 receptor BtuB	fig|817.1.peg.1226
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Predicted cobalt transporter in Bacteroides_Porphyromonas	fig|817.1.peg.1222, fig|817.1.peg.3268, fig|817.1.peg.4776
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	fig|817.1.peg.1202
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Vitamin B12 ABC transporter, permease component BtuC	fig|817.1.peg.1373, fig|817.1.peg.2866, fig|817.1.peg.8
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalt-precorrin-3b C17-methyltransferase	fig|817.1.peg.1232
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalt-precorrin-4 C11-methyltransferase (EC 2.1.1.133)	fig|817.1.peg.1234
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Adenosylcobinamide-phosphate synthase (EC 6.3.1.10)	fig|817.1.peg.1206
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)	fig|817.1.peg.1203
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73)	fig|817.1.peg.1205
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobyrinic acid A,C-diamide synthase	fig|817.1.peg.1218
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	riboflavin to FAD	FMN adenylyltransferase (EC 2.7.7.2)	fig|817.1.peg.1302
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	riboflavin to FAD	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)	fig|817.1.peg.4853
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	riboflavin to FAD	Riboflavin kinase (EC 2.7.1.26)	fig|817.1.peg.1302
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	riboflavin to FAD	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)	fig|817.1.peg.3606, fig|817.1.peg.991
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Flavodoxin	Flavodoxin	fig|817.1.peg.4123, fig|817.1.peg.427, fig|817.1.peg.697
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Flavodoxin	Flavodoxin 1	fig|817.1.peg.2692, fig|817.1.peg.3283
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended	FMN adenylyltransferase (EC 2.7.7.2)	fig|817.1.peg.1302
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended	FIG000859: hypothetical protein YebC	fig|817.1.peg.3406
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended	N-terminal domain of CinA protein, COG1058	fig|817.1.peg.190
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended	5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	fig|817.1.peg.3686
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended	Shikimate DH-like protein associated with RibB	fig|817.1.peg.991
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61)	fig|817.1.peg.2929, fig|817.1.peg.4288, fig|817.1.peg.461
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)	fig|817.1.peg.4853
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)	fig|817.1.peg.3606, fig|817.1.peg.991
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)	fig|817.1.peg.1545
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended	C-terminal domain of CinA type S	fig|817.1.peg.190
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended	Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps	fig|817.1.peg.1405, fig|817.1.peg.1408, fig|817.1.peg.4040, fig|817.1.peg.4780, fig|817.1.peg.4787
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended	GTP cyclohydrolase II (EC 3.5.4.25)	fig|817.1.peg.3606
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended	Riboflavin kinase (EC 2.7.1.26)	fig|817.1.peg.1302
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended	tRNA pseudouridine synthase B (EC 4.2.1.70)	fig|817.1.peg.1974
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended	FAD pyrophosphatase (EC 3.6.1.18)	fig|817.1.peg.4542
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism Extended	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26)	fig|817.1.peg.3686
Cofactors, Vitamins, Prosthetic Groups, Pigments	Fe-S clusters	Fe-S cluster assembly	PaaD-like protein (DUF59) involved in Fe-S cluster assembly	fig|817.1.peg.3713
Cofactors, Vitamins, Prosthetic Groups, Pigments	Fe-S clusters	Fe-S cluster assembly	DJ-1/YajL/PfpI superfamily, includes chaperone protein YajL (former ThiJ), parkinsonism-associated protein DJ-1, peptidases PfpI, Hsp31	fig|817.1.peg.2098
Cofactors, Vitamins, Prosthetic Groups, Pigments	Fe-S clusters	Fe-S cluster assembly	Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	fig|817.1.peg.1700
Cofactors, Vitamins, Prosthetic Groups, Pigments	Fe-S clusters	Fe-S cluster assembly	Sulfur acceptor protein SufE for iron-sulfur cluster assembly	fig|817.1.peg.1297
Cofactors, Vitamins, Prosthetic Groups, Pigments	Fe-S clusters	Fe-S cluster assembly	Iron-sulfur cluster assembly protein SufB	fig|817.1.peg.1704
Cofactors, Vitamins, Prosthetic Groups, Pigments	Fe-S clusters	Fe-S cluster assembly	Iron-sulfur cluster assembly protein SufD	fig|817.1.peg.1701
Cofactors, Vitamins, Prosthetic Groups, Pigments	Fe-S clusters	Fe-S cluster assembly	Iron-sulfur cluster assembly ATPase protein SufC	fig|817.1.peg.1702
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	fig|817.1.peg.1477, fig|817.1.peg.4177
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	fig|817.1.peg.925, fig|817.1.peg.926
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	fig|817.1.peg.4352
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)	fig|817.1.peg.468
